ContactID,PrimaryFirstName,PrimaryLastName,PrimaryMiddleInitial,ContactName,PrimaryGender,SSN,SSNFlag,DateOfBirth,DateOfDeath,ActiveFlag,DisbursementEligibilityFlag,ValidFrom
70000,Samantha,Pierce,Robin,Samantha Robin Pierce,F,796376509,0,1994-06-18,2023-10-05,0,0,05/15/2023 07:23:56.165
70001,Frank,Farley,Rebecca,Frank Rebecca Farley,F,402203452,0,1957-07-17,2023-12-30,0,0,03/16/2024 07:50:27.693
70002,Michael,Blankenship,Kevin,Michael Kevin Blankenship,M,411304013,0,1996-01-02,2021-08-18,0,0,06/03/2023 20:09:14.002
70003,Michael,Hernandez,Rachel,Michael Rachel Hernandez,F,204235367,0,1985-02-12,2021-07-01,0,0,09/04/2023 22:50:59.884
70004,Adam,Riddle,Samantha,Adam Samantha Riddle,F,872114627,0,1971-04-25,2022-11-21,0,0,03/01/2024 04:51:18.913
70005,Elizabeth,Marquez,Lynn,Elizabeth Lynn Marquez,F,868769136,0,1984-12-14,2023-12-17,0,0,01/08/2023 06:51:32.635
70006,Christopher,Moore,Edward,Christopher Edward Moore,F,414768931,0,2002-03-06,2023-06-08,0,0,03/17/2023 22:07:47.704
70007,Jillian,Wright,Brent,Jillian Brent Wright,M,433216027,0,1967-06-07,2020-12-02,0,0,08/15/2023 03:58:58.771
70008,Valerie,Carpenter,Brandon,Valerie Brandon Carpenter,F,599944573,0,2004-02-27,2023-10-27,0,0,05/06/2023 10:42:33.201
70009,Laura,Morrison,Taylor,Laura Taylor Morrison,F,532726289,0,1960-12-14,2020-09-05,0,0,06/07/2023 22:08:32.463
70010,Kyle,Pope,Rebecca,Kyle Rebecca Pope,M,885486444,0,1964-09-04,2022-04-06,0,0,10/08/2023 16:11:08.305
70011,Kristen,Blair,Martin,Kristen Martin Blair,M,728071678,0,1959-09-14,2021-06-08,0,0,03/21/2024 11:14:32.644
70012,Hannah,Bryan,Shane,Hannah Shane Bryan,F,804224966,0,1977-04-11,2022-06-25,0,0,09/06/2023 20:02:36.952
70013,Kara,Zamora,Rebecca,Kara Rebecca Zamora,F,680796312,0,1970-07-31,2020-09-24,0,0,03/11/2023 07:42:36.524
70014,Briana,Patterson,Brandon,Briana Brandon Patterson,M,280719758,0,2005-08-14,2021-05-23,0,0,04/09/2023 17:43:49.086
70015,Christopher,Jacobs,Daniel,Christopher Daniel Jacobs,F,977698516,0,1943-11-07,2021-12-15,0,0,06/30/2023 11:27:09.555
70016,Lee,Cole,Donald,Lee Donald Cole,M,167273995,0,1999-09-01,2021-03-27,0,0,10/10/2023 22:54:33.759
70017,Leslie,Patel,Sandra,Leslie Sandra Patel,F,488482404,0,1952-01-09,2022-12-09,0,0,03/05/2023 08:00:51.508
70018,Dean,Liu,Dalton,Dean Dalton Liu,M,726516286,0,1988-05-15,2023-06-20,0,0,03/30/2024 04:21:04.500
70019,Linda,Stanton,Karen,Linda Karen Stanton,M,443895081,0,1995-08-14,2020-12-13,0,0,08/13/2023 11:03:50.467
70020,Joshua,Williams,Justin,Joshua Justin Williams,F,362573466,0,1957-08-04,2021-07-12,0,0,01/25/2023 18:54:37.478
70021,Micheal,Woods,April,Micheal April Woods,M,462313505,0,1958-02-12,2022-05-16,0,0,11/30/2023 20:40:37.822
70022,Erin,Martinez,Cheyenne,Erin Cheyenne Martinez,M,209309180,0,1966-09-04,2021-11-08,0,0,05/26/2023 00:13:43.045
70023,Alison,Kirby,Matthew,Alison Matthew Kirby,M,378760888,0,1997-08-04,2023-03-28,0,0,08/17/2023 18:32:44.213
70024,Amanda,Kelley,Sarah,Amanda Sarah Kelley,F,372999884,0,1957-06-21,2020-10-04,0,0,06/01/2023 13:43:44.321
70025,Judith,Hess,Gabriel,Judith Gabriel Hess,F,672137599,0,1945-02-01,2023-10-16,0,0,01/24/2023 18:51:31.181
